dime.cid,corp.person.id,ticker,corp.name,last.name,first.name,middle.name,age,gender,ceo,chairman,privatefirm,sector,industry,dime.cfscore,total,num.conts,self.funded,total.dem,total.rep,pct.to.dems,total.2002,total.2004,total.2006,total.2008,total.2010,total.2012,to.incumbs,to.open.seat,to.challs,to.winner,to.losers
5533300775,247485,ABT,Abbott Laboratories,white,miles,d,57,M,1,1,0,Healthcare,Biotechnology and Drugs,0.66320218,477330.62,88,0,15450,266740,0.055,13140,34420,58916,65977.62,86290,185237,86600,35000,25400,88800,18200
2854944196,609326,ABT,Abbott Laboratories,fuller,h,laurance,73,M,0,0,0,Healthcare,Biotechnology and Drugs,0.764716554,117963,38,0,3000,72900,0.04,27250,15150,0,0,0,0,5250,7000,11500,5750,11000
52653851709,193417,ABT,Abbott Laboratories,austin,roxanne,s,51,F,0,0,0,Healthcare,Biotechnology and Drugs,-0.871975954,990,1,0,300,0,1,350,340,0,0,0,0,300,0,0,300,0
4673068269,1534240,ABT,Abbott Laboratories,farrell,w,james,70,M,0,0,0,Healthcare,Biotechnology and Drugs,0.645553915,225022,33,0,3000,116525,0.025,19984,14176,24412,4000,33200,127500,21000,7450,56000,25200,2250
55492889120,3375382,ABT,Abbott Laboratories,novakovic,phebe,n,54,F,0,0,0,Healthcare,Biotechnology and Drugs,0.182625382,105647,105,0,24300,36187,0.402,1470,4735,6300,25926,22186,40015,37905,10125,19100,28400,14375
3124080059,307890,ABT,Abbott Laboratories,tilton,glenn,f,63,M,0,0,0,Healthcare,Biotechnology and Drugs,-0.166560034,99040,31,0,21948,11500,0.656,694,11984,16984,25932,13736,28500,35300,0,8500,32300,1000
2839946357,372530,ABT,Abbott Laboratories,scott,samuel,c,67,M,0,0,0,Healthcare,Biotechnology and Drugs,-1.379215775,14900,8,0,13900,0,1,0,0,0,1000,2400,11000,11500,2400,1000,1500,1000
4598956195,291898,ABT,Abbott Laboratories,osborn,william,a,64,M,0,0,0,Healthcare,Biotechnology and Drugs,0.248670724,118750,41,0,22100,53650,0.292,10000,30000,9100,27600,22100,6000,8400,31900,5450,16000,14450
2425719055,32757736,ABT,Abbott Laboratories,alpern,robert,j,61,M,0,0,0,Healthcare,Biotechnology and Drugs,NA,250,1,0,0,0,NA,250,0,0,0,0,0,250,0,0,250,0
2900972320,198435,ABT,Abbott Laboratories,liddy,edward,m,66,M,0,0,0,Healthcare,Biotechnology and Drugs,0.670699844,36450,17,0,750,29200,0.025,5500,4000,10000,9200,0,0,3250,7600,1000,0,3000
52931996403,144638921,ABT,Abbott Laboratories,Blount,sally,E,50,F,0,0,0,Healthcare,Biotechnology and Drugs,-1.148645998,250,1,0,250,0,1,0,0,250,0,0,0,250,0,0,250,0
53925791791,20820493,ABT,Abbott Laboratories,McKinstry,nancy,,53,F,0,0,0,Healthcare,Biotechnology and Drugs,-1.148645998,2300,1,0,2300,0,1,0,0,0,2300,0,0,0,2300,0,0,0
4682070049,24207806,ACM,Aecom Technology,dionisio,john,m,64,M,1,1,0,Capital Goods,Construction Services,0.180125854,49600,19,0,7000,10500,0.4,8950,6000,7800,5800,5200,5100,6500,2750,500,3250,4000
5372399259,6323471,ACM,Aecom Technology,tishman,daniel,r,57,M,0,0,0,Capital Goods,Construction Services,-0.9286298,2279454.49,296,0,974964.92,91350,0.914,183950,485800,305300,271950,395906.15,531400,177600,47150,69900,142500,42050
5301867554,561735,ACM,Aecom Technology,rutledge,william,p,70,M,0,0,0,Capital Goods,Construction Services,0.739808887,85865.35,35,0,1700,82315.35,0.02,64215.35,1750,650,500,8050,5500,8300,2200,7000,8300,4700
5171506210,4121077,ACM,Aecom Technology,lowe,robert,j,72,M,0,0,0,Capital Goods,Construction Services,0.62339702,830425.21,300,0,46116.21,506209,0.083,100716.21,98630,178001,57798,97460,143500,81500,34650,99820,65450,71520
3737270116,741017,ACM,Aecom Technology,ouchi,william,g,68,M,0,0,0,Capital Goods,Construction Services,-0.263470871,56050,35,0,21800,27750,0.44,23300,3000,6750,3500,10000,3500,11300,2500,8500,17300,1500
2511779469,66260,ACM,Aecom Technology,fordyce,james,h,52,M,0,0,0,Capital Goods,Construction Services,-0.167586713,32209,20,0,13200,7100,0.65,0,10000,13300,0,0,0,17800,0,2500,6600,7100
4625031930,4755558,ACM,Aecom Technology,gillis,s,malcolm,71,M,0,0,0,Capital Goods,Construction Services,0.769554593,39275,51,0,1150,20925,0.052,1975,6950,2000,6050,5150,8000,11300,6800,1750,11300,3750
52446741329,589707,ACM,Aecom Technology,griego,linda,m,64,F,0,0,0,Capital Goods,Construction Services,-0.904826428,46235.41,78,0,42285.41,0,1,2681.41,2750,6200,4600,2700,6200,24496,4594,5600,25490,4600
3784637320,257726,ACM,Aecom Technology,joos,david,w,59,M,0,0,0,Capital Goods,Construction Services,0.641464007,47746.2,45,0,7800,23100,0.252,4569.04,6663.5,4146.74,6987.6,15504.32,1500,8000,1800,1250,4500,4300
-1,1436449,ACM,Aecom Technology,routs,robert,,66,M,0,0,0,Capital Goods,Construction Services,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
-1,4121014,ACM,Aecom,bong,francis,,69,M,0,0,0,Capital Goods,Construction Services,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
55533298624,656905,ADM,Archer-Daniels-Midland Co,Woertz,patricia,A,58,F,1,1,0,Consumer/Non-Cyclical,Food Processing,NA,135059.93,14,0,2000,0,1,5000,1000,5400,12207.92,11038.19,92913.82,43500,0,0,1000,0
4173384352,655672,ADM,Archer-Daniels-Midland Co,Boeckmann,alan,L,63,M,0,0,0,Consumer/Non-Cyclical,Food Processing,0.830169872,261994.56,48,0,1000,120400,0.008,7464,9500,32000,16800,137995.56,35045,22800,14700,9900,18500,9400
3182127225,660514,ADM,Archer-Daniels-Midland Co,Andreas,dwayne,O,--,M,0,0,0,Consumer/Non-Cyclical,Food Processing,0.043772232,1068877,315,0,320640,216547,0.597,49700,9000,6000,4600,500,0,152097,62680,19500,111150,75280
4021272349,1088369,ADM,Archer-Daniels-Midland Co,Westbrook,kelvin,,56,M,0,0,0,Consumer/Non-Cyclical,Food Processing,-0.765549337,37885,32,0,22425,1500,0.937,3000,2500,3000,10000,11850,3560,17100,9880,1255,14160,1475
54199403515,551260,ADM,Archer-Daniels-Midland Co,Carter,mollie,Hale,49,F,0,0,0,Consumer/Non-Cyclical,Food Processing,0.98329128,36000,24,0,1000,23550,0.041,200,0,3200,24850,3000,4750,10850,4300,11200,21050,0
4615020037,203598,ADM,Archer-Daniels-Midland Co,Moore,patrick,J,57,M,0,0,0,Consumer/Non-Cyclical,Food Processing,0.94652524,125951.95,26,0,0,34000,0,5000,10700,16826,23500.45,41212.68,23512.82,13300,19800,16700,21800,9300
52531797158,605525,ADM,Archer-Daniels-Midland Co,Haynes,victoria,Franchetti,64,F,0,0,0,Consumer/Non-Cyclical,Food Processing,0.368517019,3810,8,0,650,1410,0.316,250,0,0,1900,410,1250,0,0,0,0,0
4647049777,171651,ADM,Archer-Daniels-Midland Co,Buckley,george,W,63,M,0,0,0,Consumer/Non-Cyclical,Food Processing,0.280508998,41648,5,0,2000,4800,0.294,0,1344,7048,12784,10152,10320,5300,0,0,2000,3300
4148352266,226836,ADM,Archer-Daniels-Midland Co,Felsinger,donald,E,65,M,0,0,0,Consumer/Non-Cyclical,Food Processing,-0.204599098,8950,7,0,3500,1750,0.667,0,500,3000,250,950,2250,3250,0,0,2250,0
5744278897,550647,ADM,Archer-Daniels-Midland Co,Crews,terrell,K,57,M,0,0,0,Consumer/Non-Cyclical,Food Processing,-0.01661228,61550.46,26,0,12700,9675,0.568,2687.06,7151.04,11253.36,19159,11300,10000,12900,4500,1000,12550,2500
-1,7471297,ADM,Archer-Daniels-Midland Co,Dufour,pierre,,57,M,0,0,0,Consumer/Non-Cyclical,Food Processing,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
-1,8052044,ADM,Archer-Daniels-Midland Co,ONeill,thomas,,65,M,0,0,0,Consumer/Non-Cyclical,Food Processing,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
-1,25873950,ADM,Archer-Daniels-Midland Co,Neto,antonio,,55,M,0,0,0,Consumer/Non-Cyclical,Food Processing,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
3153110862,11829902,ADP,Automatic Data Processing,Rodriguez,carlos,A,48,M,1,0,0,Services,Business Services,0.447157389,6000,10,0,700,4300,0.14,500,500,500,500,1000,2500,1000,0,2500,200,500
3197121491,676786,ADP,Automatic Data Processing,Brun,leslie,A,60,M,0,1,0,Services,Business Services,-0.84680186,42750,13,0,1250,250,0.833,250,0,0,32000,0,0,1500,2250,750,0,1750
2371694119,173776,ADP,Automatic Data Processing,Brenneman,gregory,D,50,M,0,0,0,Services,Business Services,0.788701236,145550,29,0,3000,60950,0.047,3000,21000,0,2300,10000,98900,5000,8350,49800,6000,5350
5724248830,248360,ADP,Automatic Data Processing,Jones,john,P,61,M,0,0,0,Services,Business Services,0.078941172,63711.8,40,0,7500,21650,0.257,15000,15250,11399.9,4151.9,0,0,14900,3500,1250,11500,1900
3493200239,268365,ADP,Automatic Data Processing,Summe,gregory,L,55,M,0,0,0,Services,Business Services,0.261236408,19175,17,0,4550,14125,0.244,7750,2125,2000,1000,1000,0,7300,3000,2500,4000,3000
3084022236,173931,ADP,Automatic Data Processing,Fast,eric,C,62,M,0,0,0,Services,Business Services,0.118070771,90750,47,0,20500,34750,0.371,2500,9000,6000,5800,16150,12500,12050,20900,24500,9950,23700
55653900422,8420700,ADP,Automatic Data Processing,Gooden,linda,R,58,F,0,0,0,Services,Business Services,-0.428001982,42964.94,15,0,8500,4500,0.654,1352.94,3370,3320,4872,14840,13136,10000,500,500,9000,2000
4021303657,233403,ADP,Automatic Data Processing,Salem,enrique,T,46,M,0,0,0,Services,Business Services,-0.98724026,12400,5,0,4900,0,1,0,0,0,0,4900,7500,4900,0,2500,5000,0
4185394578,111594162,ADP,Automatic Data Processing,Hubbard,robert,Glenn,54,M,0,0,0,Services,Business Services,0.756877511,61050,26,0,1000,41300,0.024,0,10000,100,2300,38050,7500,2000,11900,12950,2900,14650
4687070275,288558,ADP,Automatic Data Processing,Clark,richard,R,66,M,0,0,0,Services,Business Services,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53140074426,25697503,ADP,Automatic Data Processing,Alemany,ellen,,56,F,0,0,0,Services,Business Services,-0.844218394,27883.25,12,0,9300,300,0.969,0,600,10386.28,8296.97,3000,4700,7350,2250,0,7800,0
5744278083,8019593,AEE,Ameren,voss,thomas,r,64,M,1,1,0,Utilities,Electric Utilities,0.172684981,100903.05,36,0,11450,14200,0.446,1431,5628.5,5390,8009.29,37065.14,36295.82,12750,7000,0,11500,6250
5583435626,373300,AEE,Ameren,sullivan,steven,r,51,M,0,0,0,Utilities,Electric Utilities,-0.098650597,50130.69,25,0,12600,10750.75,0.54,292.5,6644.5,8930.86,4432.71,15090.55,13426.07,13950,3000,0,10450,4500
4073311691,169669,AEE,Ameren,stokes,patrick,t,69,M,0,0,0,Utilities,Electric Utilities,0.3603881,181075,77,0,30000,56400,0.347,19000,34500,43600,12000,4800,32500,57550,14800,26625,43300,22300
2340661126,7792785,AEE,Ameren,johnson,james,c,59,M,0,0,0,Utilities,Electric Utilities,-1.561610034,18841.16,1,0,2300,0,1,0,4942.92,4652.16,8322.08,924,0,0,2300,0,0,0
4538924525,28896460,AEE,Ameren,woodard,jack,d,68,M,0,0,0,Utilities,Electric Utilities,0.838572642,14025,18,0,0,4700,0,5025,5000,0,0,0,0,9000,700,0,5450,1250
4647057635,269237,AEE,Ameren,galvin,walter,j,66,M,0,0,0,Utilities,Electric Utilities,0.744740094,85675,42,0,3550,31200,0.102,4150,5600,11300,10100,18000,27100,17425,10800,19800,12000,13000
5533278593,22451226,AEE,Ameren,wilson,stephen,r,63,M,0,0,0,Utilities,Electric Utilities,0.846119412,126468.74,26,0,500,36900,0.013,1100,6600,6900,21400,24600,53157.38,10800,9500,17700,15500,3000
5744278704,22197889,AEE,Ameren,brauer,stephen,f,66,M,0,0,0,Utilities,Electric Utilities,1.027292138,1274458.61,378,0,315,601984.61,0.001,21003,228520,118925,129925,124268.61,200450,187770,83557.61,94797,173049.61,71300
52859944298,21877930,AEE,Ameren,jackson,gayle,p,65,F,0,0,0,Utilities,Electric Utilities,NA,1000,3,0,0,0,NA,0,0,0,250,500,0,0,250,0,0,250
54662066093,751907,AEE,Ameren,fitzsimmons,ellen,m,51,F,0,0,0,Utilities,Electric Utilities,0.219228537,122201.76,47,0,19250,37550,0.339,4869.36,7847.53,19184.87,19500,33550,37000,28050,4900,3250,23050,8400
5744341552,3808746,AEE,Ameren,lipstein,steven,h,55,M,0,0,0,Utilities,Electric Utilities,-0.901308333,85675,36,0,58200,1625,0.973,325,4600,33600,19300,16850,11000,29600,5100,3500,15450,3000
55533278522,3263540,AEE,Ameren,brune,catherine,s,58,F,0,0,0,Utilities,Electric Utilities,0.057207161,59174.96,4,0,2500,2500,0.5,3292.17,14667.47,9931.45,8871.98,9767.45,10176.84,3500,1000,0,500,0
4096316513,292527,AEP,American Electric Power Co Inc,morris,michael,g,64,M,0,1,0,Utilities,Electric Utilities,0.333079778,986861.08,629,0,156728,287980,0.352,25842.26,35776.04,70500.84,121193.84,456430.52,232358.58,152926,41278,64358,116850,50050
5764402335,25052545,AEP,American Electric Power Co Inc,akins,nicholas,k,52,M,1,0,0,Utilities,Electric Utilities,0.577772064,237939.09,106,0,28820,83020,0.258,1107.68,2228,10175,28527.21,40565.44,146902.44,70700,6750,43750,59150,18800
4636043344,718926,AEP,American Electric Power Co Inc,Sandor,richard,L,70,M,0,0,0,Utilities,Electric Utilities,0.196521331,141896,77,0,61200,65396,0.483,2750,11900,10496,45900,43700,4900,29000,31400,8500,31000,10400
3112081737,185629,AEP,American Electric Power Co Inc,nowell,lionel,l,56,M,0,0,0,Utilities,Electric Utilities,-1.319778687,10800,4,0,4800,0,1,0,2000,1700,4700,1650,500,500,2300,2000,0,0
5492897480,184825,AEP,American Electric Power Co Inc,crosby,ralph,d,64,M,0,0,0,Utilities,Electric Utilities,0.631550596,86006.5,52,0,7500,33500,0.183,2000,12600,6250,12982.9,19097.8,22322.8,25400,10700,10050,22000,1000
4170384699,251180,AEP,American Electric Power Co Inc,hoaglin,thomas,e,62,M,0,0,0,Utilities,Electric Utilities,0.470011882,180186.66,138,0,31290,107796.66,0.225,15100,21130,39291.66,31900,33100,25100,54300,20900,27840,59900,18500
52265633975,8159422,AEP,American Electric Power Co Inc,tucker,sara,martinez,55,F,0,0,0,Utilities,Electric Utilities,0.730119211,5901,6,0,1250,4651,0.212,1000,2151,500,0,1000,0,2750,2000,0,1250,500
